EventType,Status,Timestamp,RandomSeed,Notes,EventID,ScheduledTime,ExecutedTime
INITIAL_DRAW,EXECUTED,,6,,1,2026-06-09T20:52:52+00:00,2026-06-09T20:52:52+00:00
MULLIGAN_DRAW,EXECUTED,,71358759,,2,2026-06-16T15:02:21+00:00,2026-06-16T15:02:21+00:00
MULLIGAN_DRAW,EXECUTED,,1552733226,,3,2026-06-16T15:03:57+00:00,2026-06-16T15:03:57+00:00
MULLIGAN_DRAW,EXECUTED,,439306408,,4,2026-06-16T15:44:16+00:00,2026-06-16T15:44:16+00:00
NINTH_TEAM_DRAW,EXECUTED,,1532988336,,5,2026-06-28T18:25:22+00:00,2026-06-28T18:25:22+00:00
