Timestamp,Action,Details,Actor,Event,Player,Result
2026-06-09T20:52:52+00:00,DRAW_EXECUTED,,,INITIAL_DRAW,,6
2026-06-16T15:02:21+00:00,MULLIGAN_FAILED,,,MULLIGAN_DRAW,Moyo,R3 Panama: 3 appearances (max 2); R3 Spain: 3 appearances (max 2); R3 Korea Republic: 3 appearances (max 2); R3 Tuerkiye: 3 appearances (max 2); R3 Argentina: 3 appearances (max 2); R3 Haiti: 3 appearances (max 2); R3 France: 3 appearances (max 2); R3 Congo DR: 3 appearances (max 2)
2026-06-16T15:03:57+00:00,MULLIGAN_FAILED,,,MULLIGAN_DRAW,Moyo,R3 Curacao: 3 appearances (max 2); R3 Argentina: 3 appearances (max 2); R3 Haiti: 3 appearances (max 2); R3 IR Iran: 3 appearances (max 2); R3 USA: 3 appearances (max 2); R3 Canada: 3 appearances (max 2)
